scene_id,seed,band,comb_spacing,pfa,num_training_cells,num_guard_cells,range_resolution_m,max_unambiguous_range_m,range_m,density_per_km2,num_drones,prob_detection,false_alarms_per_frame,false_alarm_fraction,rmse_position_error_m,drone_id,x,y,z,vx,vy,vz,true_range_m,true_azimuth_deg,true_radial_velocity_mps,snr_db,sensing_snr_db,ber,throughput_mbps,detected,position_error_m,range_error_m,azimuth_error_deg
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_5,-232.32918229620043,-16.49579553540383,17.43910766427087,-2.373738548936157,4.660702124122185,0.0,188.95538751907898,159.0516255366859,3.8801559250602167,14.860215883377874,7.051637012601794,0.0051305259146341466,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_6,-118.11080732004044,-65.90410153223819,13.884908036900939,-3.50951826534406,9.363487545594305,0.0,64.80977115958605,163.75659039866926,5.9777981894150045,15.559376599628829,-0.1966953502032181,0.002421557418699187,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_7,-227.7070830590605,-17.017053910971157,10.41250209907426,-5.377806401363756,-5.043489636990162,0.0,184.31008544677795,158.68923962887618,3.177143858188488,9.844527148658882,-0.23806838072274678,0.06179179369918699,0.0,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_8,-196.05017966869514,-47.93149191918501,17.51713920819536,5.469812601691013,4.188398804028601,0.0,144.81539104074884,165.55789141002396,-4.246640754773725,-inf,2.708867540266182,0.5,0.0,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_9,-109.44296396215498,-118.28527615127423,13.179476822201348,5.366964380952419,-0.09957928332167075,0.0,63.574677590155694,-147.3186017460191,-4.457944444434987,33.183974780139216,2.3667990855794336,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_10,-126.71818163873387,-127.28083088347348,15.892536438715759,1.847731678121989,5.319674842659392,0.0,83.12047594867573,-148.53259929003676,-4.34198875227967,6.495377059963186,4.497346407732719,0.1437134781504065,0.0,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_11,-109.28266186071016,-69.65189669471137,11.67908996327307,-0.2531354439496285,0.4607772954178541,0.0,55.20624481457489,164.9287332923341,0.36407132142067694,37.96874604248908,0.37281238873329725,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_12,-95.4090170384548,-95.79667204209196,8.557047100221338,7.365728698233369,1.157774236265267,0.0,41.16204815454249,-163.33548576918483,-7.383840803844407,68.32550668594519,5.320687661561423,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_13,-151.16811452390112,-57.87954124321956,16.47190669433283,-0.26829025409830354,-0.4056943522476368,0.0,98.89961559055313,164.65217110642007,0.15101934363188155,6.758320157763685,-inf,0.14485041920731706,0.0,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_0,-107.47701438170384,-116.09790058039013,14.05159165426036,1.1258611517098376,2.0794314448183853,0.0,60.79945416083622,-148.05487208269037,-2.0510275330434213,11.423623942960424,3.302922826692847,0.03650279471544715,0.0,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_1,-180.5557668886994,-176.14896820578315,17.676979826868184,1.6919154895884658,5.574579559844709,0.0,155.12739095944534,-143.50518757882548,-4.669901179003814,24.398859779083928,-0.07801717640891216,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_2,-123.9972882705126,-137.81040925537087,16.826926528427002,5.195614264143227,-1.695678418706887,0.0,86.98159737667638,-141.6432784607102,-3.012620359803621,40.16244750342806,3.5829347242067007,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_3,-116.5138489529389,-132.41342516173998,10.892779241219191,0.2644409486990866,8.63503871585589,0.0,77.50214645907592,-141.33883735606418,-5.600543470038755,39.95300408277288,1.4439508180811378,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_4,-166.13580278163852,-42.63495183262915,9.176256028784797,-7.391353498120794,5.413505427558301,0.0,117.65050283944815,159.41471487474482,8.822593519554795,16.374440694243013,-inf,0.001206808943089431,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_5,-232.32918229620043,-16.49579553540383,17.43910766427087,-2.373738548936157,4.660702124122185,0.0,188.95538751907898,159.0516255366859,3.8801559250602167,14.860215883377874,7.051637012601794,0.0051305259146341466,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_6,-118.11080732004044,-65.90410153223819,13.884908036900939,-3.50951826534406,9.363487545594305,0.0,64.80977115958605,163.75659039866926,5.9777981894150045,15.559376599628829,-0.1966953502032181,0.002421557418699187,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_7,-227.7070830590605,-17.017053910971157,10.41250209907426,-5.377806401363756,-5.043489636990162,0.0,184.31008544677795,158.68923962887618,3.177143858188488,9.844527148658882,-0.23806838072274678,0.06179179369918699,0.0,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_8,-196.05017966869514,-47.93149191918501,17.51713920819536,5.469812601691013,4.188398804028601,0.0,144.81539104074884,165.55789141002396,-4.246640754773725,-inf,2.708867540266182,0.5,0.0,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_9,-109.44296396215498,-118.28527615127423,13.179476822201348,5.366964380952419,-0.09957928332167075,0.0,63.574677590155694,-147.3186017460191,-4.457944444434987,33.183974780139216,2.3667990855794336,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_10,-126.71818163873387,-127.28083088347348,15.892536438715759,1.847731678121989,5.319674842659392,0.0,83.12047594867573,-148.53259929003676,-4.34198875227967,6.495377059963186,4.497346407732719,0.1437134781504065,0.0,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_11,-109.28266186071016,-69.65189669471137,11.67908996327307,-0.2531354439496285,0.4607772954178541,0.0,55.20624481457489,164.9287332923341,0.36407132142067694,37.96874604248908,0.37281238873329725,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_12,-95.4090170384548,-95.79667204209196,8.557047100221338,7.365728698233369,1.157774236265267,0.0,41.16204815454249,-163.33548576918483,-7.383840803844407,68.32550668594519,5.320687661561423,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_13,-151.16811452390112,-57.87954124321956,16.47190669433283,-0.26829025409830354,-0.4056943522476368,0.0,98.89961559055313,164.65217110642007,0.15101934363188155,6.758320157763685,-inf,0.14485041920731706,0.0,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_0,-107.47701438170384,-116.09790058039013,14.05159165426036,1.1258611517098376,2.0794314448183853,0.0,60.79945416083622,-148.05487208269037,-2.0510275330434213,11.423623942960424,3.302922826692847,0.03650279471544715,0.0,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_1,-180.5557668886994,-176.14896820578315,17.676979826868184,1.6919154895884658,5.574579559844709,0.0,155.12739095944534,-143.50518757882548,-4.669901179003814,24.398859779083928,-0.07801717640891216,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_2,-123.9972882705126,-137.81040925537087,16.826926528427002,5.195614264143227,-1.695678418706887,0.0,86.98159737667638,-141.6432784607102,-3.012620359803621,40.16244750342806,3.5829347242067007,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_3,-116.5138489529389,-132.41342516173998,10.892779241219191,0.2644409486990866,8.63503871585589,0.0,77.50214645907592,-141.33883735606418,-5.600543470038755,39.95300408277288,1.4439508180811378,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_4,-166.13580278163852,-42.63495183262915,9.176256028784797,-7.391353498120794,5.413505427558301,0.0,117.65050283944815,159.41471487474482,8.822593519554795,16.374440694243013,-inf,0.001206808943089431,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_5,-232.32918229620043,-16.49579553540383,17.43910766427087,-2.373738548936157,4.660702124122185,0.0,188.95538751907898,159.0516255366859,3.8801559250602167,14.860215883377874,7.051637012601794,0.0051305259146341466,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_6,-118.11080732004044,-65.90410153223819,13.884908036900939,-3.50951826534406,9.363487545594305,0.0,64.80977115958605,163.75659039866926,5.9777981894150045,15.559376599628829,-0.1966953502032181,0.002421557418699187,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_7,-227.7070830590605,-17.017053910971157,10.41250209907426,-5.377806401363756,-5.043489636990162,0.0,184.31008544677795,158.68923962887618,3.177143858188488,9.844527148658882,-0.23806838072274678,0.06179179369918699,0.0,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_8,-196.05017966869514,-47.93149191918501,17.51713920819536,5.469812601691013,4.188398804028601,0.0,144.81539104074884,165.55789141002396,-4.246640754773725,-inf,2.708867540266182,0.5,0.0,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_9,-109.44296396215498,-118.28527615127423,13.179476822201348,5.366964380952419,-0.09957928332167075,0.0,63.574677590155694,-147.3186017460191,-4.457944444434987,33.183974780139216,2.3667990855794336,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_10,-126.71818163873387,-127.28083088347348,15.892536438715759,1.847731678121989,5.319674842659392,0.0,83.12047594867573,-148.53259929003676,-4.34198875227967,6.495377059963186,4.497346407732719,0.1437134781504065,0.0,False,,,
r200_d400_t0,2,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,39.0,1.0,,mc_uas_11,-109.28266186071016,-69.65189669471137,11.67908996327307,-0.2531354439496285,0.4607772954178541,0.0,55.20624481457489,164.9287332923341,0.36407132142067694,37.96874604248908,0.37281238873329725,0.0,273.8404452690167,False,,,
